列名,类型,唯一值数量,编码方式,原始值
50、南瓜。（1/4个。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '4-5/天', '2-4/周', '>=6/天', '2-3/天', '1/天', '5-6/周']"
50、西葫芦。,分类,9,LabelEncoder,"['1/周', '2-4/周', '1-3/月', '不吃或<1/月', '4-5/天', '5-6/周', '>=6/天', '2-3/天', '1/天']"
50、大米，（一中碗。）,分类,9,LabelEncoder,"['1/天', '2-3/天', '>=6/天', '5-6/周', '2-4/周', '4-5/天', '1/周', '不吃或<1/月', '1-3/月']"
50、面条。（一中碗。）,分类,9,LabelEncoder,"['1/天', '1/周', '2-4/周', '5-6/周', '1-3/月', '不吃或<1/月', '4-5/天', '>=6/天', '2-3/天']"
50、馒头，花卷，包子，饼。（一个。）,分类,9,LabelEncoder,"['1/天', '5-6/周', '2-4/周', '不吃或<1/月', '1-3/月', '1/周', '4-5/天', '2-3/天', '>=6/天']"
50、米面，凉皮，米线，（一中碗。）,分类,9,LabelEncoder,"['1/周', '2-4/周', '5-6/周', '不吃或<1/月', '1/天', '1-3/月', '4-5/天', '2-3/天', '>=6/天']"
50、油条，油饼。（半个。）,分类,9,LabelEncoder,"['1/周', '2-4/周', '不吃或<1/月', '1/天', '1-3/月', '5-6/周', '2-3/天', '4-5/天', '>=6/天']"
50、小米，（一中碗。）,分类,9,LabelEncoder,"['1/周', '5-6/周', '1-3/月', '不吃或<1/月', '2-4/周', '1/天', '2-3/天', '>=6/天', '4-5/天']"
50、即食燕麦。（一份。）,分类,9,LabelEncoder,"['1/周', '5-6/周', '不吃或<1/月', '2-4/周', '1-3/月', '1/天', '4-5/天', '>=6/天', '2-3/天']"
50、玉米。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '不吃或<1/月', '1/天', '5-6/周', '>=6/天', '4-5/天', '2-3/天']"
50、麻辣鸡,分类,9,LabelEncoder,"['1/周', '2-4/周', '不吃或<1/月', '1-3/月', '4-5/天', '5-6/周', '2-3/天', '>=6/天', '1/天']"
50、核桃馍,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '>=6/天', '5-6/周', '2-4/周', '1/天', '2-3/天', '4-5/天']"
50、根面角,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '1/天', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、罐罐茶,分类,9,LabelEncoder,"['1/周', '2-4/周', '不吃或<1/月', '1-3/月', '1/天', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、梆梆面,分类,9,LabelEncoder,"['1/周', '2-4/周', '不吃或<1/月', '1-3/月', '2-3/天', '4-5/天', '1/天', '>=6/天', '5-6/周']"
51、日常排便习惯。（并不包括生病不适的日子。）—不能定时排便。,分类,4,LabelEncoder,"['几乎每天。', '每月数次。', '从不。', '每年数次。']"
51、因紧张、压力致腹痛、拉稀、便秘。,分类,4,LabelEncoder,"['每年数次。', '从不。', '每月数次。', '几乎每天。']"
51、因食物、饮料致腹痛、拉稀、便秘。,分类,4,LabelEncoder,"['每年数次。', '从不。', '每月数次。', '几乎每天。']"
51、突然有便意，需紧急去厕所。,分类,4,LabelEncoder,"['每年数次。', '从不。', '每月数次。', '几乎每天。']"
51、感到腹胀，多气或发出咕咕声。,分类,4,LabelEncoder,"['每月数次。', '几乎每天。', '每年数次。', '从不。']"
51、频繁的放屁。,分类,4,LabelEncoder,"['每月数次。', '几乎每天。', '每年数次。', '从不。']"
51、大便失禁。,分类,4,LabelEncoder,"['从不。', '每年数次。', '每月数次。', '几乎每天。']"
51、拉稀,分类,4,LabelEncoder,"['每年数次。', '从不。', '几乎每天。', '每月数次。']"
51、大便带粘液。,分类,4,LabelEncoder,"['每年数次。', '从不。', '每月数次。', '几乎每天。']"
51、有便意时腹部绞痛。,分类,4,LabelEncoder,"['每年数次。', '从不。', '每月数次。', '几乎每天。']"
51、使用泻药或灌肠。,分类,4,LabelEncoder,"['从不。', '每月数次。', '每年数次。', '几乎每天。']"
52、在过去三个月，你排便的次数是多少？,分类,5,LabelEncoder,"['每天一次。', '一天多次。', '三四天一次。', '一周或超过一周一次。', '五六天一次。']"
53、排便是否定时？,分类,2,LabelEncoder,"['是', '否']"
54、最长排便时段为？选一个或两个。,分类,40,LabelEncoder,40个值
55、截至目前，你是否吸过烟？（指每天至少吸一支，或连续吸烟六个月以上。）,分类,2,LabelEncoder,"['否', '是']"
56、你吸烟共多少年。,分类,28,LabelEncoder,28个值
57、过去一年，你平均每天抽烟多少根？是否已戒烟？,分类,34,LabelEncoder,34个值
58、你是否饮酒？（指每周至少一次，连续六个月或以上喝酒）,分类,2,LabelEncoder,"['是', '否']"
59、你是否经常喝茶？,分类,2,LabelEncoder,"['是', '否']"
60、你经常饮用的茶是？,分类,52,LabelEncoder,52个值
61、你经常进行体育锻炼吗？,分类,3,LabelEncoder,"['偶尔锻炼，每周一到两次。', '经常锻炼，每周三次以上。', '几乎不锻炼。']"
62、近一个月，你平均每周熬夜超过凌晨12点睡觉几次？,分类,27,LabelEncoder,27个值
63、发现胆囊结石以来是否出现过腹痛？,分类,2,LabelEncoder,"['无', '有']"
64、出现腹痛是否出现在进食油腻或饮酒之后？,分类,2,LabelEncoder,"['否', '是']"
65、你从事脑力工作，还是体力工作？,分类,3,LabelEncoder,"['脑力工作。', '脑力加体力工作。', '体力工作。']"
66、你的性格特点？,分类,3,LabelEncoder,"['不知道。', '活泼。', '内向。']"
67、您的收入？,分类,4,LabelEncoder,"['5000到10000', '5000以下', '不变透露', '1万以上。']"
